rank,prev_rank,name,league,off,def,spi
285,275,Querétaro,Mexican Primera Division Torneo Apertura,1.19,1.37,41.45
286,286,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
287,272,BK Hacken,Swedish Allsvenskan,1.22,1.4,41.32
288,289,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
289,284,FC Tokyo,Japanese J League,1.21,1.4,41.1
290,277,Kasimpasa,Turkish Turkcell Super Lig,1.33,1.55,41.06
291,323,Goztepe,Turkish Turkcell Super Lig,1.33,1.54,41.0
292,292,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
293,306,Girona FC,Spanish Segunda Division,1.09,1.27,40.88
294,295,FC Luzern,Swiss Raiffeisen Super League,1.27,1.49,40.78
295,287,Orlando City SC,Major League Soccer,1.32,1.55,40.76
296,40,Leganes,Spanish Segunda Division,1.15,1.36,40.72
297,283,FC Groningen,Dutch Eredivisie,1.09,1.29,40.67
298,290,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.25,1.48,40.57
299,95,Mallorca,Spanish Segunda Division,1.15,1.37,40.46
300,298,Patronato,Argentina Primera Division,1.2,1.43,40.35
301,299,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
302,348,Hull City,English League One,1.29,1.54,40.28
303,304,Coritiba,Brasileiro Série A,1.07,1.29,39.99
304,303,Sparta,Dutch Eredivisie,1.32,1.59,39.89
305,161,SC Paderborn,German 2. Bundesliga,1.27,1.53,39.85
306,309,Chicago Fire,Major League Soccer,1.36,1.64,39.73
307,344,KV Kortrijk,Belgian Jupiler League,1.19,1.45,39.71
308,305,Banfield,Argentina Primera Division,0.98,1.2,39.66
309,296,Goiás,Brasileiro Série A,1.2,1.47,39.62
310,301,Atlanta United FC,Major League Soccer,1.2,1.47,39.53
311,322,Antalyaspor,Turkish Turkcell Super Lig,1.18,1.45,39.51
312,467,Coventry City,English League Championship,1.17,1.45,39.31
313,307,Necaxa,Mexican Primera Division Torneo Apertura,1.14,1.41,39.28
314,316,FC Juárez,Mexican Primera Division Torneo Apertura,1.12,1.39,39.24
315,352,Luton Town,English League Championship,1.13,1.4,39.21
316,437,Rotherham United,English League Championship,1.15,1.42,39.17
317,312,Union Santa Fe,Argentina Primera Division,1.0,1.25,39.16
