rank,prev_rank,name,league,off,def,spi
582,596,Exeter City,English League Two,0.63,2.13,15.75
583,591,Bristol Rovers,English League One,0.55,1.99,15.57
584,584,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
585,575,LA Galaxy II,United Soccer League,0.75,2.39,15.35
586,583,Cheltenham Town,English League Two,0.5,1.94,15.12
587,581,Mjondalen,Norwegian Tippeligaen,0.57,2.08,15.11
588,585,Aalesund,Norwegian Tippeligaen,0.78,2.49,14.78
589,589,Rochdale,English League One,0.6,2.19,14.52
590,566,Northampton Town,English League One,0.56,2.12,14.27
591,592,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
592,610,Mansfield Town,English League Two,0.57,2.19,13.8
593,587,AFC Wimbledon,English League One,0.5,2.05,13.77
594,595,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
595,594,Las Vegas Lights FC,United Soccer League,0.62,2.35,13.32
596,612,New York Red Bulls II,United Soccer League,0.67,2.45,13.15
597,621,Leyton Orient,English League Two,0.54,2.2,13.13
598,601,Tulsa Roughnecks,United Soccer League,0.53,2.19,13.04
599,607,Bradford City,English League Two,0.45,2.03,12.98
600,608,Portland Timbers 2,United Soccer League,0.81,2.74,12.98
601,611,Memphis 901 FC,United Soccer League,0.61,2.37,12.85
602,599,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
603,600,Livorno,Italy Serie B,0.49,2.15,12.81
604,567,Crewe Alexandra,English League One,0.46,2.12,12.41
605,604,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
606,606,Port Vale,English League Two,0.43,2.08,12.2
607,602,Tranmere Rovers,English League Two,0.43,2.12,11.79
608,609,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
609,597,Hartford Athletic,United Soccer League,0.66,2.61,11.64
610,603,Colorado Springs Switchbacks FC,United Soccer League,0.53,2.35,11.56
611,613,Oklahoma City Energy FC,United Soccer League,0.44,2.17,11.52
612,598,Crawley Town,English League Two,0.43,2.18,11.34
613,615,Southend United,English League Two,0.48,2.29,11.24
614,,Barrow,English League Two,0.44,2.21,11.17
615,617,Scunthorpe,English League Two,0.46,2.26,11.11
616,605,Tacoma Defiance,United Soccer League,0.58,2.52,11.08
617,616,Swope Park Rangers,United Soccer League,0.57,2.52,11.02
618,618,Forest Green Rovers,English League Two,0.36,2.14,10.28
619,622,Grimsby Town,English League Two,0.4,2.22,10.26
620,631,Morecambe,English League Two,0.39,2.28,9.74
621,619,Walsall,English League Two,0.33,2.24,8.97
622,623,Atlanta United 2,United Soccer League,0.48,2.59,8.97
623,624,Loudoun United FC,United Soccer League,0.42,2.58,8.11
624,625,Rio Grande Valley FC Toros,United Soccer League,0.35,2.45,7.88
625,630,Stevenage,English League Two,0.24,2.21,7.61
626,627,Newport County,English League Two,0.2,2.17,7.12
627,626,Carlisle United,English League Two,0.27,2.38,6.98
628,629,Cambridge United,English League Two,0.21,2.28,6.71
629,,Harrogate Town,English League Two,0.2,2.37,6.06
630,632,Bethlehem Steel FC,United Soccer League,0.28,2.98,4.32
